iter	Passed	Remaining
0	49	14756
1	52	7762
2	55	5472
3	59	4369
4	62	3694
5	64	3175
6	69	2888
7	74	2723
8	80	2595
9	86	2507
10	92	2421
11	96	2314
12	98	2176
13	102	2088
14	107	2041
15	110	1964
16	112	1880
17	115	1810
18	120	1777
19	123	1724
20	127	1688
21	129	1630
22	131	1585
23	136	1566
24	141	1554
25	143	1516
26	149	1510
27	157	1528
28	160	1497
29	162	1460
30	164	1429
31	169	1416
32	176	1430
33	179	1407
34	187	1417
35	190	1399
36	192	1370
37	199	1375
38	203	1365
39	208	1357
40	214	1352
41	216	1328
42	218	1305
43	223	1297
44	225	1277
45	227	1256
46	229	1237
47	232	1220
48	238	1222
49	243	1217
50	248	1215
51	251	1197
52	253	1180
53	255	1164
54	259	1154
55	262	1141
56	263	1125
57	266	1112
58	268	1098
59	272	1088
60	274	1074
61	276	1061
62	282	1060
63	284	1047
64	286	1035
65	288	1022
66	290	1011
67	294	1003
68	296	992
69	299	985
70	306	988
71	310	983
72	314	979
73	319	977
74	326	980
75	329	971
76	335	971
77	340	969
78	345	965
79	350	962
80	351	949
81	353	938
82	357	934
83	362	933
84	369	935
85	379	945
86	386	946
87	394	951
88	400	948
89	405	946
90	410	942
91	420	951
92	427	952
93	435	955
94	445	962
95	452	961
96	460	964
97	469	966
98	474	964
99	482	964
100	491	968
101	496	963
102	501	959
103	509	959
104	516	960
105	524	959
106	531	958
107	535	952
108	544	954
109	549	949
110	559	952
111	566	950
112	574	950
113	580	946
114	582	936
115	587	931
116	592	926
117	596	920
118	603	918
119	609	914
120	614	908
121	619	903
122	624	898
123	628	892
124	633	886
125	638	882
126	642	874
127	646	868
128	651	863
129	657	860
130	663	855
131	667	850
132	672	844
133	677	839
134	681	833
135	686	828
136	691	822
137	696	817
138	700	811
139	705	806
140	710	800
141	714	795
142	719	789
143	726	786
144	730	781
145	735	775
146	740	770
147	744	764
148	749	759
149	754	754
150	758	748
151	763	743
152	768	738
153	772	732
154	774	724
155	779	719
156	784	714
157	788	708
158	793	703
159	798	698
160	802	693
161	807	687
162	812	682
163	817	677
164	821	672
165	826	667
166	831	662
167	842	661
168	850	659
169	855	654
170	861	649
171	868	646
172	874	642
173	879	637
174	884	631
175	889	626
176	893	621
177	898	615
178	903	610
179	906	604
180	910	598
181	915	593
182	920	588
183	925	583
184	929	577
185	934	572
186	939	567
187	944	562
188	948	557
189	953	552
190	958	546
191	962	541
192	967	536
193	972	531
194	977	526
195	981	520
196	987	516
197	992	511
198	997	506
199	1001	500
200	1006	495
201	1011	490
202	1016	485
203	1020	480
204	1025	475
205	1032	471
206	1039	467
207	1047	463
208	1054	459
209	1059	454
210	1064	449
211	1069	444
212	1074	438
213	1079	433
214	1084	428
215	1089	423
216	1093	418
217	1098	413
218	1103	408
219	1107	402
220	1112	397
221	1117	392
222	1122	387
223	1127	382
224	1131	377
225	1136	372
226	1141	367
227	1146	362
228	1151	356
229	1155	351
230	1160	346
231	1165	341
232	1170	336
233	1174	331
234	1179	326
235	1184	321
236	1188	316
237	1193	310
238	1199	306
239	1204	301
240	1209	296
241	1214	291
242	1218	285
243	1223	280
244	1228	275
245	1233	270
246	1241	266
247	1249	262
248	1255	257
249	1259	251
250	1264	246
251	1269	241
252	1274	236
253	1279	231
254	1284	226
255	1289	221
256	1294	216
257	1298	211
258	1303	206
259	1308	201
260	1311	196
261	1316	190
262	1321	185
263	1325	180
264	1330	175
265	1335	170
266	1340	165
267	1345	160
268	1350	155
269	1356	150
270	1363	145
271	1372	141
272	1378	136
273	1385	131
274	1389	126
275	1394	121
276	1399	116
277	1404	111
278	1409	106
279	1413	100
280	1418	95
281	1423	90
282	1428	85
283	1434	80
284	1442	75
285	1450	71
286	1457	66
287	1463	60
288	1468	55
289	1473	50
290	1478	45
291	1483	40
292	1487	35
293	1492	30
294	1497	25
295	1502	20
296	1507	15
297	1511	10
298	1516	5
299	1521	0
